Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
David de Gea,es ESP,GK,31,37,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,27,33.6,59,45,30,22,7,24,74,32.4,50,596,169,28.4,119,281,196,28,0,0,28,37,96,39,2
Cristiano Ronaldo,pt POR,FW,37,27.3,10,8,2,5,3,4,7,57.1,3,182,49,26.9,23,77,82,12,2,0,10,5,15,31,1
Harry Maguire,eng ENG,DF,29,26.9,39,24,23,11,5,13,26,50,13,166,62,37.3,113,47,6,45,32,0,13,51,90,128,0
Scott McTominay,sct SCO,DFMF,25,25.5,67,33,38,24,5,32,65,49.2,33,467,129,27.6,178,231,58,45,10,0,35,47,114,63,0
Victor Lindelof,se SWE,DF,27,25.2,19,10,9,9,1,9,16,56.3,7,141,53,37.6,71,63,7,42,20,0,22,49,68,118,0
Fred,br BRA,DFMF,29,21.7,66,38,29,28,9,19,71,26.8,52,534,139,26,186,287,61,46,14,0,32,48,114,29,0
Jadon Sancho,eng ENG,FW,22,21.1,18,13,8,8,2,7,23,30.4,16,276,68,24.6,65,128,83,28,2,0,26,24,42,5,2
Raphael Varane,fr FRA,DF,29,20.3,27,16,17,7,3,10,22,45.5,12,164,58,35.4,112,47,5,32,14,0,18,35,62,95,1
Aaron Wan-Bissaka,eng ENG,DF,24,19.9,46,25,26,13,7,7,18,38.9,11,225,64,28.4,106,78,41,56,15,1,41,51,97,48,0
Luke Shaw,eng ENG,DF,26,17.8,22,13,9,10,3,12,24,50,12,190,55,28.9,83,72,35,40,11,0,29,15,37,22,0
Diogo Dalot,pt POR,DF,23,19.1,55,31,33,13,9,25,41,61,16,222,68,30.6,107,79,36,37,12,3,25,44,99,61,0
Alex Telles,br BRA,DF,29,17.4,45,24,34,10,1,16,32,50,16,180,56,31.1,98,62,20,28,5,0,23,33,78,51,2
Nemanja Matic,rs SRB,DFMF,33,15.4,34,28,20,13,1,10,29,34.5,19,232,70,30.2,106,107,19,34,6,0,28,32,66,31,1
Paul Pogba,fr FRA,MF,29,15,20,13,9,9,2,5,19,26.3,14,264,76,28.8,61,127,76,16,1,0,15,19,39,25,0
Mason Greenwood,eng ENG,FW,20,14.1,16,8,8,2,6,5,12,41.7,7,154,40,26,35,59,60,5,0,0,5,4,20,5,0
Marcus Rashford,eng ENG,FW,24,13.7,8,6,2,5,1,3,17,17.6,14,254,76,29.9,41,115,98,11,1,0,10,12,20,6,1
Anthony Elanga,se SWE,FW,20,12.5,23,16,11,9,3,8,25,32,17,264,73,27.7,85,115,64,19,2,0,17,17,40,6,0
Edinson Cavani,uy URU,FW,35,7.5,4,2,0,3,1,3,6,50,3,86,34,39.5,13,35,38,8,0,0,8,8,12,7,0
Eric Bailly,ci CIV,DF,28,2.4,8,3,6,2,0,1,2,50,1,21,9,42.9,14,6,1,5,2,0,3,8,16,10,0
Jesse Lingard,eng ENG,FW,29,4.1,11,6,3,6,2,2,3,66.7,1,110,28,25.5,20,45,45,3,0,0,3,4,15,1,0
Anthony Martial,fr FRA,FW,26,2.4,1,1,0,0,1,0,1,0,1,28,11,39.3,6,9,13,3,0,0,3,1,2,2,0
Juan Mata,es ESP,MF,34,2.3,6,5,2,3,1,3,5,60,2,45,12,26.7,16,21,8,1,0,0,1,2,8,2,0
Phil Jones,eng ENG,DF,30,1.8,6,4,4,1,1,3,4,75,1,23,4,17.4,11,11,1,3,3,0,0,5,11,9,0
Daniel James,wls WAL,FW,24,1.4,4,4,0,4,0,1,1,100,0,31,8,25.8,5,13,13,2,0,0,2,0,4,1,0
Donny van de Beek,nl NED,MF,25,0.8,5,3,3,2,0,1,1,100,0,16,6,37.5,5,6,5,2,1,0,1,2,7,2,0
Hannibal Mejbri,tn TUN,FW,19,0.1,0,0,0,0,0,0,0,,0,7,1,14.3,1,5,1,0,0,0,0,0,0,0,0
Alejandro Garnacho,es ESP,FW,17,0,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
