Player,Nation,Pos,MP,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
David de Gea,es ESP,GK,37,31,37,"3,330",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,35,27,34,"3,021",33.6,10,6,10,0,2,9,0,0.3,0.18,0.48,0.3,0.48,9.4,7.9,8.4,16.3,0.28,0.25,0.53,0.24,0.49
Cristiano Ronaldo,pt POR,FW,30,37,27,"2,456",27.3,18,3,15,3,3,8,0,0.66,0.11,0.77,0.55,0.66,16.4,14.2,3.2,17.4,0.6,0.12,0.72,0.52,0.64
Harry Maguire,eng ENG,DF,29,29,27,"2,425",26.9,1,0,1,0,0,9,1,0.04,0,0.04,0.04,0.04,1.7,1.7,0.2,1.9,0.06,0.01,0.07,0.06,0.07
Scott McTominay,sct SCO,MF,29,25,27,"2,297",25.5,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,1.2,1.2,1.6,2.8,0.05,0.06,0.11,0.05,0.11
Victor Lindelof,se SWE,DF,27,27,25,"2,265",25.2,0,2,0,0,0,3,0,0,0.08,0.08,0,0.08,0.3,0.3,0.5,0.8,0.01,0.02,0.03,0.01,0.03
Fred,br BRA,MF,27,29,23,"1,954",21.7,4,4,4,0,0,5,0,0.18,0.18,0.37,0.18,0.37,1.5,1.5,1.9,3.3,0.07,0.09,0.15,0.07,0.15
Jadon Sancho,eng ENG,FW,29,22,20,"1,900",21.1,3,3,3,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.3,3.3,4.2,7.5,0.16,0.2,0.36,0.16,0.36
Raphael Varane,fr FRA,DF,22,29,20,"1,831",20.3,1,1,1,0,0,0,0,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.3,1.1,0.04,0.01,0.05,0.04,0.05
Aaron Wan-Bissaka,eng ENG,DF,20,24,20,"1,793",19.9,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06
Luke Shaw,eng ENG,DF,20,26,19,"1,601",17.8,0,3,0,0,0,8,0,0,0.17,0.17,0,0.17,0.2,0.2,3.2,3.4,0.01,0.18,0.19,0.01,0.19
Diogo Dalot,pt POR,DF,23,23,18,"1,723",19.1,0,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,1,1.7,0.04,0.05,0.09,0.04,0.09
Alex Telles,br BRA,DF,20,29,17,"1,570",17.4,0,4,0,0,0,1,0,0,0.23,0.23,0,0.23,0.4,0.4,1.8,2.2,0.02,0.1,0.13,0.02,0.13
Nemanja Matic,rs SRB,MF,23,33,16,"1,382",15.4,0,4,0,0,0,3,0,0,0.26,0.26,0,0.26,0.2,0.2,1.7,1.8,0.01,0.11,0.12,0.01,0.12
Paul Pogba,fr FRA,MF,20,29,16,"1,349",15,1,9,1,0,0,7,1,0.07,0.6,0.67,0.07,0.67,2.4,2.4,3.5,6,0.16,0.24,0.4,0.16,0.4
Mason Greenwood,eng ENG,FW,18,20,16,"1,271",14.1,5,1,5,0,0,1,0,0.35,0.07,0.42,0.35,0.42,4.4,4.4,1.6,6,0.31,0.11,0.42,0.31,0.42
Marcus Rashford,eng ENG,FW,25,24,13,"1,235",13.7,4,2,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2,4.4,0.18,0.14,0.32,0.18,0.32
Anthony Elanga,se SWE,FW,20,20,13,"1,124",12.5,2,2,2,0,0,0,0,0.16,0.16,0.32,0.16,0.32,2.9,2.9,1.8,4.7,0.23,0.14,0.37,0.23,0.37
Edinson Cavani,uy URU,FW,14,35,6,676,7.5,2,1,2,0,0,0,0,0.27,0.13,0.4,0.27,0.4,3.2,3.2,1.2,4.4,0.43,0.16,0.59,0.43,0.59
Eric Bailly,ci CIV,DF,4,28,3,217,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Lingard,eng ENG,FW,16,29,2,367,4.1,2,0,2,0,0,1,0,0.49,0,0.49,0.49,0.49,0.7,0.7,0.4,1.1,0.17,0.1,0.26,0.17,0.26
Anthony Martial,fr FRA,FW,8,26,2,212,2.4,1,0,1,0,0,0,0,0.42,0,0.42,0.42,0.42,0.4,0.4,0.1,0.6,0.19,0.06,0.25,0.19,0.25
Juan Mata,es ESP,MF,6,34,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.13,0.07,0.2,0.13,0.2
Phil Jones,eng ENG,DF,4,30,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Daniel James,wls WAL,FW,2,24,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,0.17,0.01,0.19,0.17,0.19
Donny van de Beek,nl NED,MF,8,25,0,75,0.8,1,0,1,0,0,0,0,1.2,0,1.2,1.2,1.2,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46
Hannibal Mejbri,tn TUN,FW,1,19,0,7,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Garnacho,es ESP,FW,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amad Diallo,ci CIV,FW,0,19,0,,,,,,,,,,,,,,,,,,,,,,,
Alvaro Fernandez,es ESP,DF,0,19,0,,,,,,,,,,,,,,,,,,,,,,,
Tom Heaton,eng ENG,GK,0,36,0,,,,,,,,,,,,,,,,,,,,,,,
Dean Henderson,eng ENG,GK,0,25,0,,,,,,,,,,,,,,,,,,,,,,,
Andreas Pereira,br BRA,MF,0,26,0,,,,,,,,,,,,,,,,,,,,,,,
Shola Shoretire,eng ENG,MF,0,18,0,,,,,,,,,,,,,,,,,,,,,,,
Brandon Williams,eng ENG,DF,0,21,0,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,37,28.1,407,"3,330",37,56,46,53,3,5,73,2,1.51,1.24,2.76,1.43,2.68,53.9,50.1,40,90.1,1.46,1.08,2.54,1.35,2.43
Opponent Total,,,37,27.8,407,"3,330",37,53,41,50,3,5,46,1,1.43,1.11,2.54,1.35,2.46,54.3,50.5,37.5,88,1.47,1.01,2.48,1.36,2.38
