Player,Nation,Pos,Age,CmpTotal,Att,Cmp%,TotDist,PrgDist,CmpShort,Att,CmpShort%,Cmp,Att,CmpMid%,Cmp,Att,CmpLong%,Ast,xA,A-xA,KP,1/3rd,PPA,CrsPA,Prog
David de Gea,es ESP,GK,31,627,891,70.4,17942,10408,116,117,99.1,283,291,97.3,223,476,46.8,0,0,0,0,1,0,0,0
Bruno Fernandes,pt POR,AMF,27,1478,1959,75.4,28588,8328,667,767,87,550,675,81.5,234,433,54,6,8.4,-2.4,88,148,84,15,192
Cristiano Ronaldo,pt POR,FW,37,718,888,80.9,9995,1448,443,514,86.2,217,265,81.9,28,41,68.3,3,3.1,-0.1,24,37,16,0,49
Harry Maguire,eng ENG,DF,29,1262,1447,87.2,28513,8538,336,366,91.8,652,711,91.7,266,353,75.4,0,0.2,-0.2,3,118,2,0,82
Scott McTominay,sct SCO,MF,25,1013,1189,85.2,19276,4921,416,479,86.8,436,493,88.4,140,174,80.5,1,1.8,-0.8,18,100,9,1,94
Victor Lindelof,se SWE,DF,27,1109,1235,89.8,23377,6761,331,354,93.5,599,635,94.3,170,226,75.2,2,0.5,1.5,3,67,8,0,57
Fred,br BRA,AMF,29,1070,1259,85,19953,4963,459,521,88.1,452,508,89,139,175,79.4,4,1.9,2.1,25,111,12,1,102
Jadon Sancho,eng ENG,FWMF,22,810,982,82.5,11532,2687,500,576,86.8,256,308,83.1,32,49,65.3,3,4.2,-1.2,41,27,36,6,72
Raphael Varane,fr FRA,DF,29,986,1096,90,22762,5946,230,245,93.9,539,580,92.9,212,260,81.5,1,0.2,0.8,4,68,0,0,41
Aaron Wan-Bissaka,eng ENG,DF,24,929,1113,83.5,13817,4639,553,605,91.4,299,345,86.7,48,88,54.5,0,0.9,-0.9,14,43,12,7,53
Luke Shaw,eng ENG,DF,26,938,1172,80,15632,6022,497,547,90.9,333,396,84.1,92,180,51.1,3,3.2,-0.2,39,62,17,6,78
Diogo Dalot,pt POR,DF,23,883,1106,79.8,17613,6454,348,401,86.8,400,470,85.1,131,214,61.2,0,1,-1,16,67,24,8,94
Alex Telles,br BRA,DF,29,833,1104,75.5,13419,5464,442,499,88.6,313,382,81.9,61,178,34.3,4,1.7,2.3,26,45,15,6,54
Nemanja Matic,rs SRB,MF,33,881,1010,87.2,16793,4730,364,410,88.8,373,410,91,125,149,83.9,4,1.8,2.2,13,101,8,1,87
Paul Pogba,fr FRA,AMF,29,738,879,84,14891,3918,302,345,87.5,281,315,89.2,134,171,78.4,9,3.5,5.5,24,110,26,5,94
Mason Greenwood,eng ENG,FWMF,20,397,504,78.8,7344,1629,185,214,86.4,164,195,84.1,43,75,57.3,1,1.6,-0.6,15,26,13,3,36
Marcus Rashford,eng ENG,FWMF,24,297,422,70.4,4190,851,185,236,78.4,84,121,69.4,15,33,45.5,2,2,0,9,18,11,3,26
Anthony Elanga,se SWE,FW,20,327,413,79.2,4367,1013,211,239,88.3,84,110,76.4,16,26,61.5,2,1.8,0.2,8,12,5,3,13
Edinson Cavani,uy URU,FW,35,159,200,79.5,2328,274,102,116,87.9,42,58,72.4,8,16,50,1,1.2,-0.2,6,4,1,0,7
Eric Bailly,ci CIV,DF,28,64,80,80,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0,0,0,2,0,0,3
Jesse Lingard,eng ENG,FWMF,29,132,155,85.2,1872,481,74,79,93.7,40,49,81.6,8,13,61.5,0,0.4,-0.4,8,15,3,0,9
Anthony Martial,fr FRA,FW,26,66,85,77.6,984,236,36,45,80,28,33,84.8,2,4,50,0,0.1,-0.1,1,2,4,0,8
Juan Mata,es ESP,MF,34,159,180,88.3,2543,458,89,94,94.7,50,60,83.3,14,18,77.8,0,0.2,-0.2,2,14,4,2,7
Phil Jones,eng ENG,DF,30,71,79,89.9,1401,383,22,24,91.7,42,44,95.5,6,8,75,0,0,0,1,7,0,0,5
Daniel James,wls WAL,FW,24,22,32,68.8,233,36,18,24,75,3,5,60,0,1,0,0,0,0,1,0,0,0,0
Donny van de Beek,nl NED,MF,25,25,32,78.1,385,184,14,18,77.8,8,10,80,2,2,100,0,0.5,-0.5,3,2,2,0,3
Hannibal Mejbri,tn TUN,FW,19,3,3,100,38,0,2,2,100,1,1,100,0,0,,0,0,0,0,0,0,0,0
Alejandro Garnacho,es ESP,FW,17,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
